"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1383","三民高中(民權路)","12","0","蘆洲區","20240523190944","25.088024","121.473928","民權路100號(對面人行道)","Luzhou Dist.","Sanmin Senior High School(Minquan Rd.)","No.100, Minquan Rd., Luzhou Dist.","12","1"
"1384","環河福德南路口","18","1","三重區","20240523190925","25.060285","121.502173","福德南路71號(對面人行道)","Sanchong Dist.","Huanhe S. & Fude S. Rd.","No.71, Fude S. Rd., Sanchong Dist.","17","1"
"1385","文林國小(潭興街)","22","2","樹林區","20240523190922","24.998601","121.424892","潭興街65號(對面汽車停車格)","Shulin Dist.","Wenlin Elementary School( Tanxing St.)","No. 65, Tan Xing Street, Shulin Dist.","10","1"
"1389","東陽市民活動中心","20","2","樹林區","20240523190916","24.982192","121.412517","鎮前街467號(活動中心路側)","Shulin Dist.","Dongyang Civil Activity Center","No.467, Zhenqian St., Shulin Dist","18","1"
"1404","立德青雲路口","44","0","土城區","20240523190932","24.988355","121.460675","立德路2號(對面)","Tucheng Dist.","Lide & Qingyun Intersection","No.2, Lide Rd., Tucheng Dist.","42","1"
"1408","蘆洲李宅古蹟","18","0","蘆洲區","20240523190932","25.084959","121.466551","中正路185巷68弄9號(對面人行道)(鄰近蘆洲李宅(李友邦將軍紀念館))","Luzhou Dist.","Luzhou Lee Family Historic Estate","No.9, Aly. 68, Ln. 185, Zhongzheng Rd., Luzhou Dist.","18","1"
"1410","新莊勞工中心","10","0","新莊區","20240523190934","25.020332","121.433736","新樹路222號","Xinzhuang Dist.","Xinzhuang Labors Center","No.222, Xinshu Rd., Xinzhuang Dist.","9","1"
"1415","福美公園","10","0","新莊區","20240523190929","25.055033","121.461081","福美街/福美街62巷口(西北側人行道)","Xinzhuang Dist.","Fumei Park","Fumei St./Ln. 62, Fumei St., Xinzhuang Dist.","10","1"
"1418","五股郵局","18","2","五股區","20240523190919","25.101774","121.451127","凌雲路一段80巷9號(對面人行道)","Wugu Dist.","Wu Gu Post Office","No.9, Ln. 80, Sec. 1, Lingyun Rd., Wugu Dist.","16","1"
"1422","學成公園","10","0","土城區","20240523190918","24.988246","121.451187","學成路/學成路76巷口","Tucheng Dist.","Xuecheng Park","Xuecheng Rd./Ln. 76, Xuecheng Rd., Tucheng Dist.","10","1"
"1423","鳳祥公園","22","6","鶯歌區","20240523190923","24.962819","121.330254","鶯桃路413巷65弄4號(對面)","Yingge Dist.","Fengxiang Park","No.4, Aly. 65, Ln. 413, Yingtao Rd., Yingge Dist.","16","1"
"1424","光明市場","12","3","三重區","20240523190932","25.057335","121.491809","光明路67-1號(對面)","Sanchong Dist.","Guangming Market","No.67-1, Guangming Rd., Sanchong Dist.","9","1"
"1427","土城國中","10","3","土城區","20240523190928","24.962443","121.430347","永寧路18號(對面)","Tucheng Dist.","Tucheng Junior High School","No.18, Yongning Rd., Tucheng Dist.","7","1"
"1430","中華中央路一段242巷口","10","2","土城區","20240523190917","24.985510","121.443450","中華路一段185號(前)","Tucheng Dist.","Zhonghua & Ln. 242, Sec. 1, Zhongyang Intersection","No.185, Sec. 1, Zhonghua Rd., Tucheng Dist.","8","1"
"1431","公五公園","20","4","五股區","20240523190939","25.086580","121.444520","芳州五路/芳州二路口(東北側)","Wugu Dist.","Wugu Gongwu Park","Fangzhou 5th Rd./Fangzhou 2nd Rd., Wugu Dist.","16","1"
"1433","樹林大安站","10","2","樹林區","20240523190916","24.997312","121.421725","大安路118號(外側)","Shulin Dist.","Shulin Da’an","No.118, Da’an Rd., Shulin Dist.","8","1"
"1435","民義公園","32","0","五股區","20240523190938","25.088350","121.434500","五福路五福路6巷口(五福橋旁公園)","Wugu Dist.","Minyi Park","Wufu Rd./Ln. 6, Wufu Rd., Wugu Dist.","31","1"
